Model,Subset,MAE_m,RMSE_m,Mean_EPE_m,Median_EPE_m,P90_EPE_m,P95_EPE_m
Persistence,All,10887.11144679028,31037.09579119701,17089.970083676428,0.0,59201.43546726949,119429.91101951219
Persistence,Stationary (<0.01m/s),852.777189028254,2781.8873053796824,1361.9349528748128,0.0,4540.688422112183,6877.213189407777
Persistence,Moving (>=0.01m/s),40362.968328966235,61402.49114272565,63291.073280406155,43523.97580828624,156615.98011449343,169809.57913141177
Constant Velocity,All,9473.520861064982,25176.01535349456,15101.83207173121,1226.35934266192,53184.51420835873,85636.59232564112
Constant Velocity,Stationary (<0.01m/s),1183.9015324704576,3268.1283488461704,1893.581808593921,0.0,5802.5025756449995,8040.015301774464
Constant Velocity,Moving (>=0.01m/s),33824.2776388114,49642.09972108402,53901.067219697,38340.79056378562,105907.99676507263,122700.81940427495
Physics Model A,All,10031.65066889098,23432.829377130874,15855.453917507662,4465.619112130098,46508.564228531446,77618.72972887562
Physics Model A,Stationary (<0.01m/s),3160.3874343519456,5347.00763346947,5053.476756735844,3392.9592524291334,10187.041132990245,13824.069661757054
Physics Model A,Moving (>=0.01m/s),30215.986420349385,45586.03745610803,47586.26182727488,34204.63940074676,90896.16824454068,125362.24285587927
Physics Model B,All,9006.396745050413,23286.350698813898,14279.723832118576,2321.7880914341567,48822.64511338667,74382.0860648555
Physics Model B,Stationary (<0.01m/s),1720.4082284095039,3818.1068966116213,2762.0125381989046,1136.3607831709378,6309.80506380532,10433.011115262962
Physics Model B,Moving (>=0.01m/s),30408.988012683072,45741.697966555694,48113.000758007605,35623.95589273158,99619.94359396117,124866.75548979183
Vanilla LSTM,All,12013.214460949404,28452.781429197745,19234.156136707483,3941.5806232127925,63504.3322509822,104521.69614900972
Vanilla LSTM,Stationary (<0.01m/s),4860.957906240191,13667.067813022175,7802.807373892369,3248.7785397095613,11537.44991804195,28096.13955248824
Vanilla LSTM,Moving (>=0.01m/s),33022.96809040771,51370.74658436758,52813.743127476875,38597.77724208124,121785.62137204423,132740.55640811968
